type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
P15,0.58026767,-0.48290104,0.13621247,-0.021040302,-0.03569777,-0.33763826,-0.14394331,0.473963,-0.1324868,0.2117385,-0.5560271,-0.35634825,0.017780857,0.18345045,-0.26960272,0.0031776107,0.031431556,0.54470766,0.3085891,-0.47545877,0.039732732,-0.14751868,0.25854713,0.26234975,0.25823176,0.20076099,0.20236337,-0.23298916,-0.36862242,-0.64123815,0.25064304,0.27320272,0.4018965,0.8509548,0.16441126,0.035730273,0.024814447,0.33321917,0.075979196,-0.21893542,-0.07957307,-0.30244726,-0.26361808,-0.29591888,0.34886757,-0.10611844,-0.29349193,0.23441887,0.034322307,0.30128077,0.21515033,0.27358598,0.49716452,0.215114,-0.21851657,-0.22404644,-0.03031181,0.08231963,0.052183583,-0.12455417,-0.10150361,0.3329066,-0.048020605,0.38763952
P16,0.5405598,-0.4226421,0.11125861,-0.024382925,-0.05627274,-0.3130113,-0.14968635,0.4704546,-0.11358259,0.2154935,-0.5309915,-0.33470124,0.0069556637,0.18445101,-0.2563621,0.009072933,0.026150435,0.4709244,0.294015,-0.48185295,0.00807817,-0.11967238,0.24324104,0.26305246,0.23844269,0.18291406,0.165398,-0.2061368,-0.3267879,-0.5764359,0.23669939,0.26541618,0.37751245,0.82970023,0.17728028,0.04244258,0.018592674,0.28932032,0.088024825,-0.22394152,-0.06235409,-0.2893052,-0.23659585,-0.26578525,0.32704017,-0.0933785,-0.26826188,0.22286458,0.041912816,0.31661916,0.21666692,0.25321287,0.46036124,0.19365184,-0.20025802,-0.1995166,-0.07076974,0.08982441,0.03974406,-0.10862594,-0.13326804,0.33882022,-0.03504429,0.38242626
P17,0.50355506,-0.39358765,0.103402875,-0.018969275,-0.042866964,-0.25485384,-0.13523532,0.41119733,-0.09048009,0.1882575,-0.45989847,-0.3162241,0.029547926,0.16730678,-0.23612559,0.017700287,0.03664738,0.44488987,0.25006554,-0.40368614,0.025695601,-0.112752676,0.22885367,0.20700316,0.20567879,0.17371997,0.15683822,-0.17086992,-0.28784138,-0.5218453,0.20994826,0.23751399,0.34433317,0.7105658,0.13432975,0.039765432,0.037627432,0.2677587,0.090550855,-0.18677227,-0.030725209,-0.2606977,-0.22819896,-0.2445638,0.3014239,-0.07893809,-0.25600532,0.18437162,0.022153988,0.2516509,0.19198939,0.21721241,0.42860264,0.19521561,-0.18973836,-0.18037668,-0.035437204,0.05697399,0.04156127,-0.08601596,-0.10710842,0.29462984,-0.04078703,0.3569065
P18,0.743272,-0.6494945,0.136067,-0.020007621,-0.03246968,-0.41820395,-0.18084131,0.52932405,-0.15475014,0.22222422,-0.5959073,-0.4398907,0.05653816,0.13249522,-0.21025705,0.009508278,0.068250425,0.6080879,0.2682054,-0.55793417,0.06688078,-0.19985637,0.36113703,0.22947446,0.33992162,0.1334932,0.32987967,-0.25067037,-0.41430795,-0.7598407,0.32758725,0.41608217,0.42210755,0.9521622,0.21284737,0.06563907,0.1022188,0.47266904,0.08884988,-0.1795902,-0.06277499,-0.40776348,-0.3373586,-0.37569147,0.40103775,-0.11849264,-0.30620444,0.33996144,-0.039475292,0.30021378,0.27153215,0.27232218,0.4704862,0.26239538,-0.26973474,-0.15910882,-0.030396467,0.0635478,0.039562073,-0.20443425,-0.065180525,0.29351452,-0.039962918,0.4113206
P19,0.7151767,-0.59454334,0.16275723,-0.005838217,-0.037432503,-0.38109097,-0.18548895,0.5356912,-0.15197164,0.26418474,-0.6266708,-0.3772524,0.06488679,0.1985879,-0.27999663,-0.002525624,0.08618924,0.5997011,0.28044623,-0.5436141,0.057035323,-0.22037326,0.3393139,0.22240192,0.28981444,0.16739826,0.30707806,-0.23644741,-0.36803144,-0.738253,0.28296328,0.36165458,0.3936281,0.96825325,0.17220023,0.07440348,0.07816181,0.43514255,0.10652789,-0.24164623,-0.0900004,-0.4072798,-0.3174854,-0.34911236,0.39953318,-0.09429067,-0.2905684,0.3442341,-0.044989236,0.32432434,0.29835284,0.27496877,0.5149813,0.26025486,-0.28781804,-0.20590113,-0.041767847,0.09036618,0.018007772,-0.15513907,-0.09490704,0.3398173,-0.058356598,0.40532315
P2,0.37356713,-0.31697303,0.06538426,-0.008407285,-0.03353778,-0.20879717,-0.11879735,0.33461466,-0.07976052,0.16494098,-0.3673085,-0.23459789,0.0024191062,0.1207857,-0.1963893,-0.004086058,0.035108544,0.35350505,0.20295851,-0.34704384,0.011125442,-0.066117726,0.16370384,0.17521822,0.18151575,0.11810004,0.099471025,-0.16279015,-0.22567357,-0.43058187,0.18063116,0.18744299,0.27013487,0.5775029,0.12368256,0.031699546,0.014700304,0.18045881,0.056100607,-0.15449418,-0.045184348,-0.22165637,-0.16571313,-0.20317073,0.24263075,-0.0812098,-0.20352155,0.1385751,0.05265775,0.2027399,0.14253859,0.17473236,0.3280454,0.13900122,-0.15538587,-0.13834804,-0.045901008,0.061667144,0.035162386,-0.040892668,-0.0779616,0.26427305,-0.037060633,0.2782992
P20,0.59997743,-0.46808934,0.136205,-0.055450514,-0.0498197,-0.31565028,-0.16296387,0.5197393,-0.085712045,0.24019301,-0.58138555,-0.3711868,0.02911702,0.18248783,-0.2928475,0.030675936,0.042117383,0.5357175,0.35075784,-0.5159388,0.03878541,-0.13716067,0.285063,0.25925386,0.2627042,0.18676333,0.1703094,-0.20047142,-0.3750131,-0.66256255,0.25404522,0.2502352,0.42823124,0.91003466,0.18481861,0.020654563,0.03366495,0.29065174,0.08483174,-0.23995852,-0.08418279,-0.30577767,-0.26569948,-0.30843893,0.38282853,-0.1300765,-0.3231176,0.22839749,0.039113026,0.3525131,0.21974759,0.26188776,0.517681,0.21753594,-0.24042521,-0.2075466,-0.049707185,0.09412823,0.06544245,-0.09830819,-0.14954981,0.3798358,-0.07018347,0.4554439
P21,0.655135,-0.5077001,0.11965963,-0.024471076,-0.07320357,-0.30313113,-0.14396583,0.5874978,-0.10770721,0.21513829,-0.6434933,-0.3897576,-0.00452525,0.17153068,-0.35355324,0.01107621,0.020967824,0.5620694,0.39446074,-0.6048075,0.017139247,-0.07228394,0.31212795,0.33437675,0.27590415,0.19861357,0.18421923,-0.24740823,-0.41562915,-0.70612603,0.26830566,0.278806,0.49207443,1.0059083,0.2515054,0.0043972284,-0.020903567,0.31309375,0.08805812,-0.24350373,-0.05001759,-0.37802556,-0.2703705,-0.33298755,0.35540238,-0.072170116,-0.30488247,0.19551162,0.112295136,0.36745322,0.20471726,0.30214846,0.55576885,0.24813001,-0.21700184,-0.27423647,-0.052760404,0.10933468,0.047845874,-0.08468118,-0.18201408,0.3934813,-0.06040526,0.46358556
P22,0.6426323,-0.5645027,0.1071946,-0.008788824,-0.030775102,-0.31832168,-0.12977858,0.538237,-0.09277884,0.3097207,-0.5994348,-0.37379178,0.04837552,0.24334136,-0.347393,0.0016008721,0.04007176,0.5907112,0.3222547,-0.54636526,0.07930983,-0.161006,0.30202097,0.23254272,0.30203187,0.2206037,0.20685919,-0.22395289,-0.3955708,-0.6422621,0.29753244,0.26918477,0.49372318,0.98881227,0.16670986,0.057467025,0.09638384,0.3037387,0.09859677,-0.26619563,-0.07414217,-0.33558252,-0.33233973,-0.34139186,0.39220196,-0.105719216,-0.33512646,0.27002257,0.026519349,0.3690079,0.2616461,0.31773654,0.6255065,0.31437632,-0.24429034,-0.24584879,-0.061536275,0.072777495,0.06535844,-0.11786898,-0.12871672,0.44942722,-0.06684694,0.5039398
P23,0.78468835,-0.61677945,0.21253209,-0.031627554,0.041796044,-0.442296,-0.19418512,0.5145885,-0.17566785,0.09133559,-0.5776443,-0.50655884,-0.011743549,0.1491942,-0.15622157,0.04935915,-0.005018467,0.7496473,0.27669466,-0.56625324,0.08055432,-0.2900027,0.3581424,0.2643493,0.41926834,0.14782104,0.4022216,-0.2832766,-0.43987238,-0.8125457,0.26775992,0.48835397,0.3831415,0.9714068,0.13934311,0.06270304,0.06685601,0.45690322,0.07239817,-0.24436064,-0.031488143,-0.3503819,-0.23735975,-0.37145776,0.45054492,-0.12501591,-0.35668886,0.42082068,-0.1344742,0.32989606,0.40143356,0.23586297,0.43763468,0.151055,-0.24101993,-0.19655816,0.037987225,0.093061805,0.008063544,-0.21786411,-0.15324964,0.21070807,-0.08920066,0.38198632
P24,0.59041226,-0.49941018,0.13740075,-0.02776682,-0.038874023,-0.328062,-0.14296794,0.57466406,-0.11956655,0.28558257,-0.6334814,-0.42091778,0.010435009,0.20935877,-0.3238245,0.019717421,0.05520484,0.5105289,0.3523746,-0.5822226,0.021222888,-0.15589376,0.27239156,0.28782436,0.24318916,0.20213874,0.150781,-0.26675877,-0.3920706,-0.6219169,0.22976996,0.2604521,0.43673456,0.9337755,0.21432707,0.025086192,0.042265695,0.3183994,0.048615895,-0.21338163,-0.03687767,-0.329378,-0.2774191,-0.30454472,0.41667286,-0.16530299,-0.31232777,0.19769323,0.09833208,0.33052105,0.25860804,0.29122585,0.51726323,0.21491157,-0.23944001,-0.23595868,-0.09369259,0.122188106,0.07633796,-0.13163829,-0.12636441,0.42897034,-0.020803604,0.46698746
P25,0.65945613,-0.52538425,0.12426328,-0.013129782,-0.027239071,-0.36686486,-0.17925079,0.5167071,-0.11535094,0.2287735,-0.576832,-0.37646368,0.013140854,0.19026527,-0.2380949,0.01420953,0.030808933,0.5913639,0.28266832,-0.5239734,0.06480751,-0.16012901,0.26429516,0.26694328,0.29361063,0.1843899,0.25486857,-0.23052984,-0.38800004,-0.7053176,0.2428222,0.34634393,0.4044123,0.9228191,0.1993397,0.02459627,0.020527631,0.36500338,0.12501222,-0.18127483,-0.04747294,-0.33568916,-0.27786,-0.33128387,0.3819353,-0.120237,-0.31532863,0.29689315,-0.014470468,0.30478737,0.26443034,0.2912223,0.49317273,0.20118518,-0.25555137,-0.19124182,-0.030358532,0.071274824,0.042974275,-0.14150943,-0.08050498,0.32998437,-0.08219886,0.39347646
